"Table S8 | List of DEGs (|log2FC| > 0.585 and FDR < 0.01) between DT1_A and DT1_U in 35-day-old organoids. FC, fold change; CPM, counts per million; LR, likelihood ratio statistics; FDR, false discovery rate; CV, coefficient of variation.",,,,,,,,,
Gene_name,Log2FC,Log2CPM,LR,p-value,FDR,Means_DT1_A,CV_DT1_A,Means_DT1_U,CV_DT1_U
EMID1,-0.781286311,7.278739341,98.86579034,2.70E-23,3.21E-21,0.110564574,323.9769152,0.221175749,210.5982576
ILDR2,-0.779389143,8.061709408,95.76237464,1.30E-22,1.44E-20,0.861941322,128.8576198,1.223202626,98.32009767
BARHL2,-0.7789672,7.274357732,50.0217062,1.52E-12,6.88E-11,0.121825468,406.6280368,0.218771493,303.0140935
PLA2G3,-0.776057102,7.274111441,98.16397726,3.85E-23,4.49E-21,0.095795005,342.1571928,0.219634978,220.6000064
ALCAM,-0.775612982,7.282521501,75.17467866,4.31E-18,3.39E-16,0.125753884,343.6683574,0.25077029,247.3588697
PRIMA1,-0.774879913,7.29886737,72.03017058,2.12E-17,1.57E-15,0.154874008,288.2973086,0.258586857,218.5754876
LIN28B,-0.774213083,7.352361093,93.97199091,3.20E-22,3.40E-20,0.207950747,217.9002513,0.313155671,168.776598
BBC3,-0.773854805,7.341598804,87.97487016,6.63E-21,6.40E-19,0.204589177,230.1851111,0.305063281,177.8105815
LHFPL6,-0.773210678,7.788934351,115.7060552,5.51E-27,8.74E-25,0.666851533,136.6985831,0.976648714,100.4906519
FGFRL1,-0.771979054,7.523982081,98.8926779,2.67E-23,3.17E-21,0.393033376,175.641211,0.600430928,128.0013911
JAG1,-0.771038952,7.734714936,113.4526569,1.72E-26,2.60E-24,0.630808622,149.3534161,0.923180958,108.8934111
SNCG,-0.770864925,7.329234916,57.80782687,2.89E-14,1.59E-12,0.21843037,281.6748462,0.306991863,215.420308
CCNB1IP1,-0.770612545,8.133273952,205.2832986,1.47E-46,8.61E-44,1.005605161,94.29512358,1.471996776,71.65206072
DTX4,-0.770603915,8.064292051,123.286375,1.21E-28,2.19E-26,0.933414162,115.4792563,1.308049713,87.50251712
HMGCS1,-0.767278643,10.95756977,316.196779,9.76E-71,1.89E-67,3.877046042,37.43265198,4.682908375,26.91609894
LINC02525,-0.765618762,7.30335196,85.85892411,1.93E-20,1.83E-18,0.149304042,261.685806,0.257398246,192.9104433
PDE3B,-0.761606045,7.368902634,92.94208463,5.38E-22,5.62E-20,0.222922405,209.1611396,0.347519474,162.6742158
NUF2,-0.761260116,7.372275954,31.28566411,2.23E-08,5.67E-07,0.286505692,284.1504425,0.382916871,233.8393698
TMEM243,-0.756093358,7.352659563,80.86080001,2.42E-19,2.10E-17,0.213808536,227.7654534,0.33076395,175.9524015
ZFHX4-AS1,-0.755843495,7.34210961,64.48137332,9.74E-16,6.11E-14,0.211493896,244.1204174,0.327243269,195.3603824
HJURP,-0.754607344,7.29413534,40.04273826,2.48E-10,8.59E-09,0.184451086,347.7851774,0.26448502,272.4291959
SPON1,-0.749868076,7.267956961,54.53769553,1.52E-13,7.78E-12,0.109920786,469.0842303,0.22627478,319.958689
TLX3,-0.747298365,7.262883855,49.25882484,2.24E-12,9.85E-11,0.091416972,520.9744136,0.19324232,351.1681391
PTTG1,-0.747051318,7.663535072,47.02670664,7.00E-12,2.91E-10,0.605191452,192.2089303,0.853032437,157.2197764
KHDRBS2,-0.746700092,7.359891271,85.3502705,2.50E-20,2.36E-18,0.221908997,216.4046522,0.334494438,169.1574992
MCM2,-0.746215691,7.782896226,61.18968651,5.18E-15,3.05E-13,0.643462323,158.5414053,0.867669038,127.8139927
ARAP3,-0.745776459,7.304552163,79.70016864,4.36E-19,3.72E-17,0.1519342,262.6244932,0.258996359,195.4003691
HMMR,-0.745431031,7.296390374,60.42144385,7.66E-15,4.44E-13,0.170248494,306.1887886,0.263229878,241.3737575
CENPE,-0.74462795,7.319892453,50.47660628,1.21E-12,5.53E-11,0.210168688,290.6821813,0.311621662,231.0359509
SCD,-0.744451148,10.6825864,346.6463323,2.28E-77,6.11E-74,3.657782628,37.697006,4.428869528,26.19196745
EPM2A,-0.743439872,7.326194594,82.65959598,9.75E-20,8.67E-18,0.180554287,233.8039443,0.282624689,182.2007363
POU3F3,-0.743214992,8.806157587,323.1237751,3.02E-72,6.20E-69,1.746702889,61.41273911,2.385733586,41.9247807
FOS,-0.742343145,9.455467567,69.35822257,8.21E-17,5.75E-15,1.950860064,100.6725818,2.539769406,75.11347262
KIF2C,-0.741984487,7.30801587,36.97645394,1.20E-09,3.71E-08,0.204677558,320.6028612,0.293958836,261.6142988
SLC25A13,-0.739966673,7.421475632,93.28844114,4.52E-22,4.75E-20,0.274233581,196.1353219,0.445280477,143.4956445
MND1,-0.739730956,7.316377883,67.80667562,1.80E-16,1.21E-14,0.186340402,262.7643412,0.277644159,206.8195858
PIMREG,-0.737519694,7.357731024,34.35732361,4.59E-09,1.31E-07,0.272599304,286.4846975,0.372020729,230.6642841
ATAD2,-0.736868203,7.421056195,43.88610577,3.48E-11,1.34E-09,0.33280106,233.9583864,0.443587754,186.6932513
NAALAD2,-0.735416371,7.647410125,131.0613451,2.40E-30,4.90E-28,0.519642131,136.6205559,0.802178908,99.53064933
MPPED2,-0.734216514,7.301460792,69.35423324,8.23E-17,5.75E-15,0.167450391,282.8273372,0.25194587,209.2616684
CXXC4,-0.733087501,8.64335272,257.8686616,5.00E-58,4.59E-55,1.552829844,73.49073108,2.173705092,43.93833706
EIF1AY,-0.731486847,7.540203722,118.259117,1.52E-27,2.56E-25,0.398625004,160.4136912,0.631274547,112.5854721
MRC2,-0.730168338,7.523982268,79.299903,5.34E-19,4.51E-17,0.401255223,177.1220143,0.589655707,133.6695965
TRDMT1,-0.725886981,7.316323502,75.55069804,3.56E-18,2.82E-16,0.163807682,243.5295018,0.275122471,191.1550842
EFCAB2,-0.723663167,7.333670827,79.17321396,5.69E-19,4.79E-17,0.194621188,231.1953423,0.288789133,179.6167672
MTTP,-0.722037107,7.263908054,90.27752833,2.07E-21,2.05E-19,0.081262623,409.466657,0.204182822,247.8494509
TACC3,-0.719604583,7.415812848,34.34823135,4.61E-09,1.31E-07,0.331841024,254.7089022,0.452671689,208.0831246
TNFRSF19,-0.718526909,7.348739899,66.26231947,3.95E-16,2.61E-14,0.234669614,244.1752436,0.323191531,186.6266781
KIF15,-0.717245227,7.34372565,42.16948624,8.37E-11,3.07E-09,0.240471728,266.1234802,0.340805452,215.1956236
CDCA8,-0.717004549,7.313935652,40.01250958,2.52E-10,8.70E-09,0.213735469,311.0470313,0.318100652,252.4272621
CDC20,-0.716641178,7.388493306,28.78760602,8.08E-08,1.88E-06,0.311299786,291.8465888,0.468128342,236.8050163
LMX1B,-0.713114837,7.293688156,26.8909086,2.15E-07,4.66E-06,0.163790712,352.3295141,0.251095084,293.261865
CRB1,-0.71265012,7.299945761,69.10324976,9.34E-17,6.49E-15,0.154748138,270.2573894,0.252653929,205.1579808
MAD2L1,-0.710189181,7.635661924,31.58434023,1.91E-08,4.92E-07,0.519363945,201.636038,0.666022884,168.9174511
ENOSF1,-0.708797243,7.380576129,72.59701495,1.59E-17,1.18E-15,0.243034035,212.1274375,0.378947631,165.4853375
CDHR1,-0.708443102,7.260053656,100.1028131,1.45E-23,1.76E-21,0.059233745,440.1882947,0.197589584,244.888431
VIM-AS1,-0.70635814,7.41894621,77.69482803,1.20E-18,9.92E-17,0.282719054,201.6674502,0.441619724,149.1602584
CKB,-0.706253856,10.5747965,337.514217,2.22E-75,5.16E-72,3.610661495,36.29572575,4.367831694,25.53308182
EPHX2,-0.702852691,7.367843903,77.64781455,1.23E-18,1.01E-16,0.229246829,210.6035766,0.340079431,164.7790109
