"","Astrocytes","Neurons","Proliferating","Progs.","RG","Mural","Myeloid","Endothelial","SYMBOL"
"MAP7D3","0.15734266","0.10347349","0.24685243","0.11655919","0.18600066","0.26121477","0.06181319","0.10301109","MAP7D3"
"INTS9","0.04195804","0.03510055","0.05799794","0.02603723","0.05718041","0.03612545","0.01236264","0.03169572","INTS9"
"AL161457.2","0.019230769","0.019012797","0.019401445","0.010828568","0.021196188","0.009527590","0.004120879","0.007923930","AL161457.2"
"ZNF510","0.02097902","0.02925046","0.03199174","0.01411364","0.02941176","0.01389440","0.01373626","0.02218700","ZNF510"
"ENG","0.036713287","0.010603291","0.013415893","0.009733544","0.033190930","0.009130607","0.006868132","0.274167987","ENG"
"TBC1D13","0.08916084","0.09323583","0.13065015","0.06217301","0.15050937","0.09527590","0.04807692","0.09191759","TBC1D13"
"HMCN2","0.0017482517","0.0069469835","0.0004127967","0.0014600316","0.0024646730","0.0007939659","0.0000000000","0.0221870048","HMCN2"
"TMEM41B","0.1905594","0.2095064","0.2466460","0.1741088","0.3064410","0.2282652","0.3406593","0.1267829","TMEM41B"
"SYT7","0.017482517","0.083363803","0.024974200","0.022873829","0.052086756","0.007145693","0.008241758","0.011093502","SYT7"
"AP000766.1","0.020979021","0.032175503","0.036532508","0.013505293","0.040913572","0.017070266","0.009615385","0.028526149","AP000766.1"
"LINC02550","0.003496503","0.001462523","0.004334365","0.001581701","0.008872823","0.006351727","0.000000000","0.007923930","LINC02550"
"UBASH3B","0.02447552","0.02120658","0.02745098","0.01216693","0.03089057","0.00952759","0.01236264","0.07765452","UBASH3B"
"ROBO4","0.001748252","0.016087751","0.007636739","0.005718457","0.006408150","0.002381898","0.001373626","0.283676704","ROBO4"
"HHEX","0.11713287","0.02925046","0.05593395","0.05085777","0.11173184","0.01111552","0.10027473","0.89857369","HHEX"
"FAM24B","0.013986014","0.007678245","0.014035088","0.013870301","0.012816300","0.009527590","0.039835165","0.007923930","FAM24B"
"A2M","0.178321678","0.005118830","0.004747162","0.009246867","0.010351627","0.011115522","0.002747253","0.131537242","A2M"
"UBE3B","0.08216783","0.10639854","0.14736842","0.06679645","0.15642458","0.10123065","0.07967033","0.09350238","UBE3B"
"IFT81","0.18181818","0.16782450","0.21836945","0.11826256","0.15921788","0.09964272","0.01098901","0.05388273","IFT81"
"PAN3","0.2220280","0.1641682","0.2222910","0.1239810","0.2632271","0.2012703","0.1208791","0.1854200","PAN3"
"CLBA1","0.040209790","0.023765996","0.032198142","0.021778805","0.035162668","0.043668122","0.004120879","0.009508716","CLBA1"
"PML","0.11013986","0.09287020","0.12033024","0.06144300","0.15823201","0.12068281","0.09340659","0.22345483","PML"
"MMP25-AS1","0.03846154","0.03510055","0.04210526","0.02652391","0.06654617","0.04247717","0.03159341","0.08399366","MMP25-AS1"
"NOL3","0.02097902","0.04095064","0.02848297","0.01934542","0.05307263","0.06470822","0.02335165","0.01743265","NOL3"
"GFOD2","0.16608392","0.23765996","0.17007224","0.09526706","0.16989813","0.08336642","0.03434066","0.14104596","GFOD2"
"AC040169.1","0.03671329","0.02559415","0.03199174","0.02044044","0.03894183","0.03374355","0.02197802","0.02852615","AC040169.1"
"C17orf75","0.07342657","0.12833638","0.17420021","0.07884171","0.10302333","0.08614530","0.08516484","0.05546751","C17orf75"
"MPP3","0.022727273","0.090310786","0.028070175","0.016182017","0.045185672","0.027788805","0.002747253","0.020602219","MPP3"
"AC005837.3","0.001748252","0.002925046","0.004127967","0.001825040","0.004272100","0.008733624","0.001373626","0.003169572","AC005837.3"
"NCOA5","0.11363636","0.10822669","0.14158927","0.06618810","0.14475846","0.08852719","0.02197802","0.06497623","NCOA5"
"AL117379.1","0.003496503","0.005850091","0.004540764","0.008881859","0.011008873","0.009130607","0.005494505","0.041204437","AL117379.1"
"FBXW9","0.10139860","0.05959781","0.10030960","0.05511619","0.08642787","0.07701469","0.03708791","0.05863708","FBXW9"
"MARK4","0.12762238","0.14881170","0.16697626","0.08188344","0.19684522","0.12187376","0.06181319","0.21394612","MARK4"
"PRRG2","0.008741259","0.006215722","0.010319917","0.008151843","0.013966480","0.010718539","0.016483516","0.014263074","PRRG2"
"ZNF701","0.05244755","0.05155393","0.06357069","0.03735248","0.06786066","0.04247717","0.06181319","0.03169572","ZNF701"
"CLDN5","0.008741259","0.652285192","0.056346749","0.076164984","0.067696352","0.017070266","0.002747253","2.019017433","CLDN5"
"PCAT14","0.010489510","0.031078611","0.035706914","0.049154398","0.087742360","0.007939659","0.013736264","0.126782884","PCAT14"
"EXOSC10","0.13111888","0.10895795","0.19504644","0.07762502","0.13325665","0.12981342","0.07417582","0.07606973","EXOSC10"
"FBXO6","0.013986014","0.007678245","0.009700722","0.007421827","0.027111403","0.036125447","0.015109890","0.019017433","FBXO6"
"EFHD2","0.29020979","0.11517367","0.20515996","0.09684877","0.23677292","0.30964669","0.07417582","0.08874802","EFHD2"
"GMEB1","0.09790210","0.09908592","0.14654283","0.06095632","0.10729543","0.05954744","0.04807692","0.05229794","GMEB1"
"SPOCD1","0.006993007","0.003656307","0.001857585","0.001946709","0.003286231","0.006748710","0.002747253","0.000000000","SPOCD1"
"C1orf216","0.04195804","0.05338208","0.04107327","0.01885874","0.06079527","0.05279873","0.01236264","0.03486529","C1orf216"
"AL591845.1","0.003496503","0.012431444","0.010526316","0.016668694","0.023660861","0.012703454","0.015109890","0.004754358","AL591845.1"
"SNIP1","0.06118881","0.03510055","0.04685243","0.02688892","0.05192244","0.03414053","0.03846154","0.03169572","SNIP1"
