"","SYMBOL","GW26_GABAergic_neurons","GW23_GABAergic_neurons","GW26_Astrocytes","GW26_Neurons","GW16_Neurons","GW16_GABAergic_neurons","GW10_Neurons"
"15038","RBM34",3.33003948765884,2.53142546190532,3.51427219125123,3.29748528059263,4.86301475964916,3.6962067941663,4.9033685707688
"15039","RBM38",0.448216937172634,0.294380561939819,0.87308685885529,0.0958553700035647,0.305773377336658,0.188674679736519,0.321133892499472
"15040","RBM39",6.43381831124405,7.21394442069581,7.63469129631333,6.96308447260887,7.85914221173003,7.69266301530946,8.58669475147594
"15041","RBM4",2.59512153018708,3.07456044266071,2.61644229912254,2.33606378128275,3.31464288513705,2.81051618313458,3.31153915830803
"15042","RBM41",2.04490261034467,1.89326250759898,2.81174936151826,1.6309870551525,2.34156470318498,1.85608992536061,2.15703609372867
"15043","RBM42",2.69614495656249,2.47262687414136,3.68990344623002,2.87790077186467,3.55653074532678,2.78925172084675,3.6683193344735
"15044","RBM43",0.653201314268879,0.560309875888156,1.18088435914567,0.575094832097531,0.659056627740022,0.533119593284785,0.480941988151721
"15045","RBM44",0.0333263268679289,0.0255759856086045,0,0.0654101461677827,0.0988326944225464,0,0
"15046","RBM45",0.506635112496678,0.515319770433569,0.95894264866548,0.521118854271586,0.88381016086217,0.548241695697799,0.735912154132911
"15047","RBM46",0.00739018321975245,0.061032690297867,0.206238643816956,0,0.0048595696202336,0,0
"15048","RBM47",0.926437102332589,0.557320375824831,1.0145726524972,0.302609544876613,0.725863713918632,0.611986039343085,0.816796479983436
"15049","RBM48",1.69868303151813,1.49774822538063,2.26144364586458,1.40908043580993,2.2190125704469,2.31984649365494,1.64660446408904
"15050","RBM4B",3.1868547155432,3.35018501750905,2.5634677052377,3.63326504116367,3.95979960698794,4.24925973680503,3.23187230278682
"15051","RBM5",5.14237314042138,4.52218084361853,5.62967618607945,4.38777205820693,5.24542653751863,4.99608060223902,4.44985979092852
"15052","RBM6",4.04958971499181,3.9118700525599,4.25394183014018,3.67049780073468,4.27978279401577,3.90182522651786,4.86794384532623
"15053","RBM7",1.40321017930735,1.40571918892107,2.91045022719222,1.54080733754574,2.48495203828887,1.65592378630318,1.81618673057334
"15054",NA,5.3119502786983,5.15564364806758,6.07691723880403,4.70147320169573,7.01385737165382,6.2119367510443,8.34715257137527
"15055","RBMS1",0.354297547369103,0.256599145854581,0.224368808287807,0.015105157329893,0.214400638967008,0.401887091581311,0.112298465933448
"15056","RBMS2",0.621006055379496,0.498536550057073,1.08732088967309,0.331038052928426,0.486607457596735,0.659160107880503,0.873161253286573
"15057","RBMS3",0.949686989342899,1.02839304205247,0.765352441102173,0.218399734655707,0.196472424413842,1.22117968606819,0.136088409421318
"15058","RBMS3-AS1",0.0111368896841121,0,0,0,0,0,0
"15059",NA,0.074242322367216,0.0601679809622979,0,0,0.0198180327595269,0.103691727182828,0.0126486319638759
"15060","RBMX",5.72292385388056,6.57782593132393,6.18406388655866,6.3655747770196,7.78085289332032,7.10161233166942,7.62303591043066
"15061","RBMX2",1.92881392076141,1.4335203872128,2.41878210813273,2.17247788173068,2.42390239957168,2.02670551890621,2.66521081118446
"15062","RBMXL1",2.94599765132652,2.62096490237934,3.24304131194535,2.03798990427585,3.47106734052335,3.58473324566783,3.14704820226205
"15063","RBMXL2",0,0,0,0,0,0,0.033612705955427
"15064","RBMXL3",0,0,0,0,0,0,0.0248110594106693
"15065","RBP1",7.53701507444125,6.82393373444848,5.66529489818644,5.94587953405396,6.48548203371991,7.01007388372285,9.15783874467749
"15066","RBP2",0.0366277758901326,0.0335470481905691,0,0.067852835960968,0.0621461023202697,0,0
"15067",NA,0.0100758748692705,0,0,0.0434964139209323,0,0,0
"15068","RBP4",0.772164915288985,0.394861345601215,0.355000687519002,0.453330203813011,0.0812189891652578,0.0985410579610204,0.121101648399506
"15069","RBP5",0,0,0,0,0.0172730222939252,0,0.0151181974158692
"15070","RBP7",0,0,0,0,0.0121715033774528,0.0693713654964786,0
"15071","RBPJ",3.82114344567478,4.50353882156124,5.71882050144545,3.95399953138493,6.00256360598726,4.79750638713187,6.89124496419787
"15072","RBPJL",0,0,0,0,0,0,0
"15073","RBPMS",0.236225651318004,0.157762282789387,0.234743073201809,0.445270794576892,0.201677318664346,0.253845555418698,0.268766047914554
"15074","RBPMS-AS1",0,0,0.127192495711108,0,0,0,0
"15075","RBPMS2",0.106185154888423,0.0833999598658519,0.750759437124023,0.015796088562915,0.0957951537778497,0,0.0848129185431044
"15076","RBX1",7.10324405988253,6.17816105418528,7.43945529012518,7.20462457849003,8.35086482809453,7.64182072713247,8.94045969915992
"15077","RC3H1",3.77735362012998,4.29459692315109,4.01082121698977,3.60452061058116,4.82788405526916,5.51412395278538,3.49996165589883
"15078","RC3H2",0.644559751595522,0.65907469706866,0.810641424751213,0.273028952710101,0.825735873559128,0.450539764058627,0.983085201637178
"15079","RCAN1",2.09039947701211,1.06681709803207,1.78573080297089,1.63010102868831,3.88574254422395,2.71374248518965,1.53785302864749
"15080","RCAN2",1.29980806022792,0.847772539432077,0.841274658483178,0.593910384952695,0.273594757481387,0.479332286134677,0.0988939363106765
"15081","RCAN3",0.1187141849156,0.0772412814796768,0,0,0.105299374039186,0.0722074875586619,0.306364883792358
"15082","RCBTB1",0.816582114946516,0.629230626952397,1.34730291406764,0.377878368137596,0.906488222769864,0.741764222603111,1.43553635096173
"15083","RCBTB2",1.78650829052717,1.35803998714979,2.71690108666384,1.84903500260677,2.44988985058732,2.00805470304766,1.87884024478193
"15084","RCC1",0.524270627315266,0.356057353176305,0.269882782752855,0.163214597192399,0.5291207395547,0.412190932598899,0.676952293435976
"15085","RCC2",0.914341384171252,1.09111376023447,0.968416723361891,0.789719954853684,1.86727070628706,1.01100678902272,2.60866890806152
"15086","RCCD1",0.441170561508136,0.485349848234561,0.593859702547922,0.150416075603773,0.835423831575907,0.715802991822794,0.290163346783536
"15087","RCE1",1.61451262865733,0.972756846199091,1.32271623458135,0.449525102488546,1.22516506502272,1.06496438642887,0.955628809366841
"15088","RCHY1",1.59416944244911,2.17064354331808,1.68150164570488,1.4420316128647,2.442233659171,2.29875139649725,1.39316259204096
"15089","RCL1",0.616671177462927,0.581607038980934,1.18174440861565,0.45773248768075,0.76059300738752,0.517062860356365,0.806413108051859
"15090","RCN1",1.7296566841261,1.60617329126969,5.69337780451487,1.34964699880512,2.26549326813897,1.91700315334851,1.7224090483862
"15091","RCN2",4.60397002170875,4.70430414577023,5.54444342869582,4.85064175524653,6.53529973729537,6.07720544827541,5.85151150171875
"15092","RCN3",0.508076566012588,0.561369403839531,0.499424075589746,0.308575710771726,0.495042982686472,0.236416419842812,0.217244749864704
"15093","RCOR1",1.10758332578753,0.465425683280291,1.37538558529999,1.40976902333027,1.1894438834322,0.451730861455306,0.81427559340183
"15094","RCOR2",0.798520146878832,0.460206620854676,0.563355546237674,0.858466896059303,1.04885744236306,0.68791006915709,2.39874492488842
"15095","RCOR3",1.93604220202119,1.58241178235739,2.79383301813301,1.38489497484396,2.10686457594671,1.75310163498047,2.07095795799726
"15096","RCSD1",0.221485447144793,0.206348450028026,0.145271151323381,0.0841410369264274,0.0504371305879657,0.0240528764632244,0
"15097","RCVRN",0.0552413725688405,0.0113689404004693,0.02598277111676,0.0187900908154294,0.0402288757472616,0.0470476637089622,0.115017692518949
"15098","RD3",0.0397760824052483,0.0138275422969876,0,0,0,0,0.0297369327565911
"15099","RD3L",0.00303564665392924,0,0,0,0,0,0.0847418447692379
"15100","RDH10",0.0680730299143269,0,0.353893372234058,0.0124566608158853,0.0965200093927292,0,0.093228164548764
